SUID,tf,interaction,target,confidence_score
6325,STAT,positive_KC,NUP98,1.681132759
6326,STAT,positive_KC,OSBPL9,1.67926315
6327,STAT,positive_KC,OSTF1,1.732909022
6328,STAT,positive_KC,PADI2,1.768378513
6329,STAT,positive_KC,PAQR8,1.706821113
6330,STAT,negative_KC,PARP10,-1.577163062
6331,STAT,negative_KC,PARP11,-1.701910767
6332,STAT,positive_KC,PARP16,1.506911313
6333,STAT,positive_KC,PDE4B,1.863900836
6334,STAT,positive_KC,PDE6D,1.748401731
6335,STAT,positive_KC,PDGFB,1.934880707
6336,STAT,positive_KC,PDPN,1.871260681
6337,STAT,negative_KC,PERP,-1.696158076
6338,STAT,positive_KC,PFKFB4,1.651686526
6339,STAT,positive_KC,PGM2,1.660936169
6340,STAT,negative_KC,PHF15,-1.667439562
6341,STAT,negative_KC,PHLDA1,-1.850131732
6342,STAT,positive_KC,PHYH,1.513916735
6343,STAT,negative_KC,PIK3R5,-1.85660323
6344,STAT,positive_KC,PKP3,1.837635931
6345,STAT,negative_KC,PLA1A,-1.600991148
6346,STAT,positive_KC,PLA2G12A,1.904032593
6347,STAT,negative_KC,PLAUR,-1.725180052
6348,STAT,positive_KC,PLCXD1,1.570165942
6349,STAT,positive_KC,PLEC,1.948894036
6350,STAT,positive_KC,PLEKHF1,1.693148654
6351,STAT,positive_KC,PLEKHG2,1.87734532
6352,STAT,positive_KC,PLEKHO2,1.869664406
6353,STAT,positive_KC,PLIN3,1.598538543
6354,STAT,positive_KC,PLSCR1,1.798161194
6355,STAT,positive_KC,PMEPA1,1.930619958
6356,STAT,positive_KC,PODNL1,1.575527128
6357,STAT,positive_KC,POLD4,1.880994772
6358,STAT,positive_KC,POU2AF1,1.699177854
6359,STAT,positive_KC,PPFIBP1,1.82256293
6360,STAT,positive_KC,PPP1R15A,1.708185439
6361,STAT,positive_KC,PPP1R3B,1.64983579
6362,STAT,positive_KC,PPP1R9B,1.711614961
6363,STAT,positive_KC,PPP3CC,1.886221078
6364,STAT,positive_KC,PPPDE1,1.629938547
6365,STAT,positive_KC,PREX1,1.712310921
6366,STAT,positive_KC,PRKCH,1.882057796
6367,STAT,positive_KC,PRKRIR,1.812240916
6368,STAT,negative_KC,PSMB8,-1.901442349
6369,STAT,negative_KC,PSMB9,-1.54927076
6370,STAT,negative_KC,PSME2,-1.809522069
6371,STAT,positive_KC,PSTPIP1,1.836814656
6372,STAT,negative_KC,PTGER4,-1.914758318
6373,STAT,positive_KC,PTPN22,1.843415507
6374,STAT,positive_KC,PTPN5,1.914114468
6375,STAT,positive_KC,PTPRJ,1.91268095
6376,STAT,positive_KC,PTPRS,1.620230207
